"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","index","workerId","response"
"501.59999999403954","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","69","318981","0.0-8.0-2.13","stim/test/noi005_act08_scr1_con0_tri015.mp4","14","123","yes"
"220.59999999403954","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","70","319202","0.0-8.0-3.13","stim/test/noi005_act08_scr1_con0_tri015.mp4","14","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","71","320211","0.0-8.0-0.14","","","",""
"null","","null","video-keyboard-response","72","326406","0.0-8.0-1.14","stim/test/noi020_act10_scr0_con0_tri003.mp4","","",""
"450.40000000596046","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","73","326858","0.0-8.0-2.14","stim/test/noi020_act10_scr0_con0_tri003.mp4","15","123","yes"
"204.60000002384186","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","74","327063","0.0-8.0-3.14","stim/test/noi020_act10_scr0_con0_tri003.mp4","15","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","75","328067","0.0-8.0-0.15","","","",""
"null","","null","video-keyboard-response","76","333211","0.0-8.0-1.15","stim/test/noi020_act01_scr1_con1_tri029.mp4","","",""
"469.80000001192093","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","77","333682","0.0-8.0-2.15","stim/test/noi020_act01_scr1_con1_tri029.mp4","16","123","yes"
"392.19999998807907","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","78","334075","0.0-8.0-3.15","stim/test/noi020_act01_scr1_con1_tri029.mp4","16","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","79","335091","0.0-8.0-0.16","","","",""
"null","","null","video-keyboard-response","80","340791","0.0-8.0-1.16","stim/test/noi010_act03_scr0_con1_tri059.mp4","","",""
"359.19999998807907","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","81","341150","0.0-8.0-2.16","stim/test/noi010_act03_scr0_con1_tri059.mp4","17","123","yes"
"217.90000000596046","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","82","341369","0.0-8.0-3.16","stim/test/noi010_act03_scr0_con1_tri059.mp4","17","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","83","342374","0.0-8.0-0.17","","","",""
"null","","null","video-keyboard-response","84","347505","0.0-8.0-1.17","stim/test/noi010_act01_scr0_con1_tri001.mp4","","",""
"365.7000000178814","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","85","347872","0.0-8.0-2.17","stim/test/noi010_act01_scr0_con1_tri001.mp4","18","123","yes"
"218.89999997615814","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","86","348092","0.0-8.0-3.17","stim/test/noi010_act01_scr0_con1_tri001.mp4","18","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","87","349094","0.0-8.0-0.18","","","",""
"null","","null","video-keyboard-response","88","355272","0.0-8.0-1.18","stim/test/noi020_act10_scr1_con0_tri055.mp4","","",""
"338.2999999821186","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","89","355612","0.0-8.0-2.18","stim/test/noi020_act10_scr1_con0_tri055.mp4","19","123","yes"
"248.19999998807907","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","90","355861","0.0-8.0-3.18","stim/test/noi020_act10_scr1_con0_tri055.mp4","19","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","91","356866","0.0-8.0-0.19","","","",""
"null","","null","video-keyboard-response","92","362004","0.0-8.0-1.19","stim/test/noi005_act06_scr0_con0_tri033.mp4","","",""
"497.40000000596046","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","93","362502","0.0-8.0-2.19","stim/test/noi005_act06_scr0_con0_tri033.mp4","20","123","yes"
"312.30000001192093","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","94","362815","0.0-8.0-3.19","stim/test/noi005_act06_scr0_con0_tri033.mp4","20","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","95","363828","0.0-8.0-0.20","","","",""
"null","","null","video-keyboard-response","96","369554","0.0-8.0-1.20","stim/test/noi005_act03_scr0_con1_tri024.mp4","","",""
"386.10000002384186","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","97","369940","0.0-8.0-2.20","stim/test/noi005_act03_scr0_con1_tri024.mp4","21","123","yes"
"322.39999997615814","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","98","370263","0.0-8.0-3.20","stim/test/noi005_act03_scr0_con1_tri024.mp4","21","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","99","371272","0.0-8.0-0.21","","","",""
"null","","null","video-keyboard-response","100","376975","0.0-8.0-1.21","stim/test/noi020_act08_scr1_con0_tri079.mp4","","",""
"746.5999999940395","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","101","377722","0.0-8.0-2.21","stim/test/noi020_act08_scr1_con0_tri079.mp4","22","123","no"
"765.6999999880791","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","102","378488","0.0-8.0-3.21","stim/test/noi020_act08_scr1_con0_tri079.mp4","22","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","103","379490","0.0-8.0-0.22","","","",""
"null","","null","video-keyboard-response","104","385674","0.0-8.0-1.22","stim/test/noi020_act05_scr0_con1_tri019.mp4","","",""
"444.5","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","105","386120","0.0-8.0-2.22","stim/test/noi020_act05_scr0_con1_tri019.mp4","23","123","yes"
"505.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","49","html-keyboard-response","106","386626","0.0-8.0-3.22","stim/test/noi020_act05_scr0_con1_tri019.mp4","23","123","1"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","107","387629","0.0-8.0-0.23","","","",""
"null","","null","video-keyboard-response","108","393808","0.0-8.0-1.23","stim/test/noi010_act10_scr1_con1_tri010.mp4","","",""
"431.89999997615814","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","109","394241","0.0-8.0-2.23","stim/test/noi010_act10_scr1_con1_tri010.mp4","24","123","no"
"741.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","49","html-keyboard-response","110","394984","0.0-8.0-3.23","stim/test/noi010_act10_scr1_con1_tri010.mp4","24","123","1"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","111","396000","0.0-8.0-0.24","","","",""
"null","","null","video-keyboard-response","112","401139","0.0-8.0-1.24","stim/test/noi020_act06_scr0_con0_tri001.mp4","","",""
"454.09999999403954","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","113","401594","0.0-8.0-2.24","stim/test/noi020_act06_scr0_con0_tri001.mp4","25","123","yes"
"602.3000000119209","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","49","html-keyboard-response","114","402197","0.0-8.0-3.24","stim/test/noi020_act06_scr0_con0_tri001.mp4","25","123","1"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","115","403200","0.0-8.0-0.25","","","",""
"null","","null","video-keyboard-response","116","409379","0.0-8.0-1.25","stim/test/noi010_act05_scr1_con1_tri007.mp4","","",""
"818.3000000119209","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","117","410199","0.0-8.0-2.25","stim/test/noi010_act05_scr1_con1_tri007.mp4","26","123","no"
"1214.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","53","html-keyboard-response","118","411414","0.0-8.0-3.25","stim/test/noi010_act05_scr1_con1_tri007.mp4","26","123","5"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","119","412423","0.0-8.0-0.26","","","",""
"null","","null","video-keyboard-response","120","418597","0.0-8.0-1.26","stim/test/noi005_act05_scr0_con0_tri001.mp4","","",""
"560.4000000059605","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","121","419159","0.0-8.0-2.26","stim/test/noi005_act05_scr0_con0_tri001.mp4","27","123","yes"
"749.2000000178814","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","122","419909","0.0-8.0-3.26","stim/test/noi005_act05_scr0_con0_tri001.mp4","27","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","123","420917","0.0-8.0-0.27","","","",""
"null","","null","video-keyboard-response","124","427098","0.0-8.0-1.27","stim/test/noi005_act10_scr0_con0_tri003.mp4","","",""
"571.5999999940395","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","125","427671","0.0-8.0-2.27","stim/test/noi005_act10_scr0_con0_tri003.mp4","28","123","yes"
"408.90000000596046","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","126","428080","0.0-8.0-3.27","stim/test/noi005_act10_scr0_con0_tri003.mp4","28","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","127","429098","0.0-8.0-0.28","","","",""
"null","","null","video-keyboard-response","128","435298","0.0-8.0-1.28","stim/test/noi020_act10_scr1_con1_tri006.mp4","","",""
"365.2000000178814","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","129","435665","0.0-8.0-2.28","stim/test/noi020_act10_scr1_con1_tri006.mp4","29","123","no"
"324.2000000178814","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","130","435989","0.0-8.0-3.28","stim/test/noi020_act10_scr1_con1_tri006.mp4","29","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","131","436998","0.0-8.0-0.29","","","",""
"null","","null","video-keyboard-response","132","443180","0.0-8.0-1.29","stim/test/noi010_act10_scr1_con0_tri013.mp4","","",""
"409.30000001192093","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","133","443591","0.0-8.0-2.29","stim/test/noi010_act10_scr1_con0_tri013.mp4","30","123","no"
"247.40000000596046","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","134","443838","0.0-8.0-3.29","stim/test/noi010_act10_scr1_con0_tri013.mp4","30","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","135","444845","0.0-8.0-0.30","","","",""
"null","","null","video-keyboard-response","136","449980","0.0-8.0-1.30","stim/test/noi010_act01_scr1_con1_tri012.mp4","","",""
"410.7999999821186","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","137","450392","0.0-8.0-2.30","stim/test/noi010_act01_scr1_con1_tri012.mp4","31","123","no"
"213.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","138","450606","0.0-8.0-3.30","stim/test/noi010_act01_scr1_con1_tri012.mp4","31","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","139","451608","0.0-8.0-0.31","","","",""
"null","","null","video-keyboard-response","140","456746","0.0-8.0-1.31","stim/test/noi010_act06_scr0_con1_tri031.mp4","","",""
"441.19999998807907","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","141","457190","0.0-8.0-2.31","stim/test/noi010_act06_scr0_con1_tri031.mp4","32","123","yes"
"342.40000000596046","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","142","457533","0.0-8.0-3.31","stim/test/noi010_act06_scr0_con1_tri031.mp4","32","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","143","458541","0.0-8.0-0.32","","","",""
"null","","null","video-keyboard-response","144","463681","0.0-8.0-1.32","stim/test/noi005_act06_scr1_con1_tri013.mp4","","",""
"744.8000000119209","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","70","html-keyboard-response","145","464427","0.0-8.0-2.32","stim/test/noi005_act06_scr1_con1_tri013.mp4","33","123","no"
"296.7999999821186","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = No confident at all AND 5 = Very confident. </i> </p>","51","html-keyboard-response","146","464725","0.0-8.0-3.32","stim/test/noi005_act06_scr1_con1_tri013.mp4","33","123","3"
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","147","465733","0.0-8.0-0.33","","","",""
"null","","null","video-keyboard-response","148","471911","0.0-8.0-1.33","stim/test/noi010_act05_scr0_con0_tri006.mp4","","",""
"471.90000000596046","<div style=""font-size:24px; color:white;"">Did you see a person in the cloud?</div><p style=""font-size:24px;""> <i> Press ""J"" for Yes AND ""F"" for No. </i> </p>","74","html-keyboard-response","149","472383","0.0-8.0-2.33","stim/test/noi010_act05_scr0_con0_tri006.mp4","34","123","yes"
